净值日期,净值日期,累计净值
2014-01-24,2014-01-24,1.0
2014-01-30,2014-01-30,1.0007
2014-02-07,2014-02-07,1.0021
2014-02-14,2014-02-14,1.0033
2014-02-21,2014-02-21,1.0046
2014-02-28,2014-02-28,1.0057
2014-03-07,2014-03-07,1.0066
2014-03-14,2014-03-14,1.0074
2014-03-21,2014-03-21,1.008
2014-03-24,2014-03-24,1.0082
2014-03-25,2014-03-25,1.0085
2014-03-26,2014-03-26,1.0089
2014-03-27,2014-03-27,1.009
2014-03-28,2014-03-28,1.009
2014-03-31,2014-03-31,1.0089
2014-04-01,2014-04-01,1.0089
2014-04-02,2014-04-02,1.0089
2014-04-03,2014-04-03,1.0089
2014-04-04,2014-04-04,1.0089
2014-04-08,2014-04-08,1.0089
2014-04-09,2014-04-09,1.009
2014-04-10,2014-04-10,1.009
2014-04-11,2014-04-11,1.0089
2014-04-14,2014-04-14,1.0089
2014-04-15,2014-04-15,1.0088
2014-04-16,2014-04-16,1.0088
2014-04-17,2014-04-17,1.0088
2014-04-18,2014-04-18,1.0088
2014-04-21,2014-04-21,1.0087
2014-04-22,2014-04-22,1.0087
2014-04-23,2014-04-23,1.0087
2014-04-24,2014-04-24,1.0086
2014-04-25,2014-04-25,1.0085
2014-04-28,2014-04-28,1.0086
2014-04-29,2014-04-29,1.0085
2014-04-30,2014-04-30,1.0081
2014-05-05,2014-05-05,1.008
2014-05-06,2014-05-06,1.0077
2014-05-07,2014-05-07,1.0078
2014-05-08,2014-05-08,1.008
2014-05-09,2014-05-09,1.0084
2014-05-12,2014-05-12,1.0084
2014-05-13,2014-05-13,1.0085
2014-05-14,2014-05-14,1.0086
2014-05-15,2014-05-15,1.0081
2014-05-16,2014-05-16,1.0084
2014-05-19,2014-05-19,1.0085
2014-05-20,2014-05-20,1.0085
2014-05-21,2014-05-21,1.0086
2014-05-22,2014-05-22,1.0088
2014-05-23,2014-05-23,1.0094
2014-05-26,2014-05-26,1.0095
2014-05-27,2014-05-27,1.0099
2014-05-28,2014-05-28,1.01
2014-05-29,2014-05-29,1.0101
2014-05-30,2014-05-30,1.0103
2014-06-03,2014-06-03,1.0108
2014-06-04,2014-06-04,1.0117
2014-06-05,2014-06-05,1.0116
2014-06-06,2014-06-06,1.0118
2014-06-09,2014-06-09,1.0119
2014-06-10,2014-06-10,1.0121
2014-06-11,2014-06-11,1.0121
2014-06-12,2014-06-12,1.012
2014-06-13,2014-06-13,1.0125
2014-06-16,2014-06-16,1.0129
2014-06-17,2014-06-17,1.0117
2014-06-18,2014-06-18,1.0118
2014-06-19,2014-06-19,1.0117
2014-06-20,2014-06-20,1.0122
2014-06-23,2014-06-23,1.0123
2014-06-24,2014-06-24,1.0127
2014-06-25,2014-06-25,1.0132
2014-06-26,2014-06-26,1.0135
2014-06-27,2014-06-27,1.0138
2014-06-30,2014-06-30,1.0132
2014-07-01,2014-07-01,1.0133
2014-07-02,2014-07-02,1.0134
2014-07-03,2014-07-03,1.0137
2014-07-04,2014-07-04,1.0138
2014-07-07,2014-07-07,1.0142
2014-07-08,2014-07-08,1.0144
2014-07-09,2014-07-09,1.0145
2014-07-10,2014-07-10,1.0151
2014-07-11,2014-07-11,1.0153
2014-07-14,2014-07-14,1.0157
2014-07-15,2014-07-15,1.0154
2014-07-16,2014-07-16,1.0155
2014-07-17,2014-07-17,1.0153
2014-07-18,2014-07-18,1.0152
2014-07-21,2014-07-21,1.0152
2014-07-22,2014-07-22,1.0155
2014-07-23,2014-07-23,1.0154
2014-07-24,2014-07-24,1.0158
2014-07-25,2014-07-25,1.0162
2014-07-28,2014-07-28,1.0167
2014-07-29,2014-07-29,1.017
2014-07-30,2014-07-30,1.017
2014-07-31,2014-07-31,1.0174
2014-08-01,2014-08-01,1.0175
2014-08-04,2014-08-04,1.018
2014-08-05,2014-08-05,1.0181
2014-08-06,2014-08-06,1.0182
2014-08-07,2014-08-07,1.0183
2014-08-08,2014-08-08,1.0185
2014-08-11,2014-08-11,1.0191
2014-08-12,2014-08-12,1.0191
2014-08-13,2014-08-13,1.0193
2014-08-14,2014-08-14,1.0193
2014-08-15,2014-08-15,1.0195
2014-08-18,2014-08-18,1.0197
2014-08-19,2014-08-19,1.0199
2014-08-20,2014-08-20,1.0198
2014-08-21,2014-08-21,1.0197
2014-08-22,2014-08-22,1.0198
2014-08-25,2014-08-25,1.0202
2014-08-26,2014-08-26,1.0206
2014-08-27,2014-08-27,1.0208
2014-08-28,2014-08-28,1.0208
2014-08-29,2014-08-29,1.021
2014-09-01,2014-09-01,1.0215
2014-09-02,2014-09-02,1.0216
2014-09-03,2014-09-03,1.0218
2014-09-04,2014-09-04,1.0221
2014-09-05,2014-09-05,1.0222
2014-09-09,2014-09-09,1.0224
2014-09-10,2014-09-10,1.0224
2014-09-11,2014-09-11,1.0221
2014-09-12,2014-09-12,1.0219
2014-09-15,2014-09-15,1.0226
2014-09-16,2014-09-16,1.0227
2014-09-17,2014-09-17,1.0229
2014-09-18,2014-09-18,1.0235
2014-09-19,2014-09-19,1.024
2014-09-22,2014-09-22,1.0257
2014-09-23,2014-09-23,1.0258
2014-09-24,2014-09-24,1.0266
2014-09-25,2014-09-25,1.0265
2014-09-26,2014-09-26,1.0267
2014-09-29,2014-09-29,1.0273
2014-09-30,2014-09-30,1.0277
2014-10-08,2014-10-08,1.0289
2014-10-09,2014-10-09,1.0289
2014-10-10,2014-10-10,1.029
2014-10-13,2014-10-13,1.0297
2014-10-14,2014-10-14,1.0297
2014-10-15,2014-10-15,1.0305
2014-10-16,2014-10-16,1.0308
2014-10-17,2014-10-17,1.0315
2014-10-20,2014-10-20,1.0324
2014-10-21,2014-10-21,1.033
2014-10-22,2014-10-22,1.0332
